Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:02, 23.38,  0.06,  0.02,  1.05,  1.42, -4.20, -1.57,  1.04,  3.20, -1.42,-10.04,-27.85; 30.25,  0.01,  0.00,  0.99, -0.30, -1.94, -0.06,  0.22,  0.41,  0.45, -2.09,  2.55
Uptime 00:00:02, 23.42,  0.13,  0.02,  0.96, -2.57, -3.52, -5.55,  1.28,  7.75, -1.68,-10.43,-28.55; 30.25,  0.03,  0.02,  0.97,  0.41, -3.88,  1.53,  1.03,  1.93,  0.51, -2.56,  2.74
Uptime 00:00:03, 23.38,  0.08,  0.04,  1.01,  2.00, -6.72, -0.72,  2.19,  4.49, -1.36,-11.13,-28.64; 30.34, -0.01,  0.01,  1.01, -0.52, -0.59, -0.65,  0.35, -0.71,  0.45, -2.57,  2.66
Uptime 00:00:03, 23.38,  0.12, -0.01,  1.00, -1.73, -5.20, -3.17, -0.49,  6.73, -1.55,-11.67,-29.03; 30.25,  0.03, -0.02,  1.00, -3.30, -3.62,  2.55, -0.90,  1.69,  0.02, -2.99,  2.98
Uptime 00:00:03, 23.42,  0.14,  0.02,  0.99, -3.44, -3.94, -5.69,  1.28,  8.00, -1.92,-12.08,-29.74; 30.25,  0.06, -0.01,  0.99,  1.29, -1.78,  1.64, -0.44,  3.51,  0.17, -3.22,  3.18
Uptime 00:00:03, 23.47,  0.14,  0.01,  0.97, -1.30, -3.82, -5.54,  0.71,  8.03, -2.03,-12.46,-30.43; 30.29,  0.04,  0.00,  0.99, -2.33, -4.14,  1.32,  0.13,  2.28, -0.11, -3.70,  3.35
Uptime 00:00:03, 23.52,  0.18, -0.02,  0.99, -0.71, -6.40, -4.21, -0.89, 10.08, -2.09,-13.19,-30.95; 30.29,  0.04, -0.01,  0.99,  0.39, -2.21,  0.19, -0.29,  2.34, -0.07, -3.94,  3.37
Uptime 00:00:03, 23.47,  0.11,  0.04,  0.98,  2.77, -9.93, -2.99,  2.34,  6.17, -1.66,-14.26,-31.32; 30.34, -0.01,  0.04,  1.00, -6.33, -7.04,  4.05,  2.05, -0.32, -0.80, -4.72,  3.88
Uptime 00:00:03, 23.42,  0.15, -0.00,  1.00,  5.49,-12.10, -7.55, -0.20,  8.59, -0.97,-15.61,-32.25; 30.39,  0.03, -0.01,  1.01, -2.51, -5.83,  6.13, -0.78,  1.90, -1.10, -5.37,  4.63
Uptime 00:00:03, 23.38,  0.24,  0.05,  0.97,  3.08,-17.76,-17.19,  2.70, 13.94, -0.53,-17.72,-34.37; 30.29,  0.13,  0.00,  1.02, -4.81,-16.53,  1.79,  0.18,  7.05, -1.66, -7.39,  4.85
Uptime 00:00:04, 23.56,  0.19,  0.03,  0.99,  0.36, -6.75, -9.84,  1.44, 10.65, -0.44,-18.41,-35.61; 30.39,  0.05, -0.01,  1.04,  3.09, -6.44,  1.04, -0.71,  2.98, -1.26, -8.10,  4.98
Uptime 00:00:04, 23.38,  0.21,  0.05,  0.97,  1.02, -8.40,-11.95,  2.83, 12.15, -0.25,-19.30,-37.08; 30.39,  0.11, -0.01,  1.01,  0.09, -7.46, -0.15, -0.49,  6.02, -1.23, -8.96,  4.96
Uptime 00:00:04, 23.47,  0.20,  0.06,  0.97, -2.19, -5.88,-10.59,  3.33, 11.44, -0.45,-19.85,-38.38; 30.48,  0.13, -0.01,  1.03,  1.40, -8.15, -0.47, -0.60,  6.93, -1.05, -9.90,  4.91
Uptime 00:00:04, 23.42,  0.19,  0.05,  0.95,  0.56,  0.65, -9.39,  3.12, 11.39, -0.31,-19.60,-39.55; 30.48,  0.10, -0.02,  0.99,  2.30, -0.78, -2.15, -1.29,  6.02, -0.77, -9.92,  4.64
Uptime 00:00:04, 23.47,  0.17,  0.05,  0.96, -0.55, -1.35, -9.17,  3.06, 10.01, -0.31,-19.57,-40.68; 30.48,  0.11, -0.00,  1.01,  0.83, -3.45, -1.55, -0.13,  6.22, -0.66,-10.26,  4.45
Uptime 00:00:04, 23.42,  0.14,  0.07,  0.98,  0.41, -2.31, -9.31,  3.97,  8.28, -0.17,-19.63,-41.85; 30.48,  0.11,  0.00,  1.01,  0.25, -2.21, -3.06,  0.13,  6.46, -0.61,-10.46,  4.06
Uptime 00:00:04, 23.52,  0.14,  0.05,  0.94, -0.22,  1.28, -7.19,  2.83,  8.39, -0.14,-19.25,-42.74; 30.48,  0.11,  0.01,  1.01,  0.28, -4.59, -1.06,  0.69,  5.97, -0.55,-10.92,  3.93
Uptime 00:00:04, 23.47,  0.13,  0.04,  0.97, -2.16, -0.31, -5.45,  2.29,  7.87, -0.35,-19.06,-43.41; 30.48,  0.10,  0.00,  1.00, -0.80, -0.52, -0.41,  0.16,  5.68, -0.64,-10.88,  3.88
