Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:00, 22.95, -0.02,  0.05,  1.08,  4.87,  7.50,  1.37,  2.45, -1.27, 10.17, 15.60,  2.91; 27.71, -0.03,  0.02,  1.02, -7.50, -0.76, -0.07,  1.35, -1.42, -8.18, -0.80, -0.07
Uptime 00:00:00, 22.81,  0.00,  0.02,  0.97,-14.64,  8.19,  0.98,  1.19,  0.29,  8.22, 16.27,  3.03; 27.80, -0.01, -0.00,  0.98,  3.81,  0.68,  2.04, -0.00, -0.33, -7.56, -0.70,  0.18
Uptime 00:00:00, 22.86, -0.04,  0.06,  0.93, -1.45, 11.06,  1.95,  3.82, -2.17,  7.96, 17.34,  3.28; 27.80, -0.01,  0.04,  0.97,  2.16, -4.44, -3.70,  2.18, -0.84, -7.10, -1.21, -0.29
Uptime 00:00:00, 22.95, -0.02,  0.05,  1.01,-16.83,  0.22,  3.86,  3.07, -0.97,  5.83, 17.04,  3.75; 27.89, -0.01, -0.05,  1.00,  6.22, -6.42, -2.88, -2.68, -0.85, -6.26, -1.94, -0.64
Uptime 00:00:00, 23.05,  0.00,  0.09,  0.99,  0.49,  8.19,  6.41,  4.92,  0.09,  5.87, 17.69,  4.54; 27.89,  0.02, -0.03,  0.99,  2.88, -2.61, -2.92, -1.63,  1.16, -5.82, -2.24, -1.00
Uptime 00:00:00, 22.95, -0.02,  0.05,  1.04, -7.00,  9.37,  0.32,  2.68, -1.11,  4.94, 18.51,  4.58; 27.94, -0.00, -0.05,  1.05, -0.27,  1.06, -2.31, -2.85, -0.25, -5.79, -2.06, -1.29
Uptime 00:00:00, 22.91, -0.01, -0.01,  0.94, -2.04, 11.29, -2.75, -0.77, -0.68,  4.58, 19.53,  4.24; 28.13,  0.00, -0.03,  1.00,  3.69,  2.07, -1.04, -1.95,  0.04, -5.27, -1.77, -1.42
Uptime 00:00:00, 22.86, -0.06,  0.04,  1.10,  3.24,  1.72,  3.42,  2.22, -3.19,  4.93, 19.41,  4.66; 28.13, -0.03,  0.03,  1.01, -4.92, -4.44, -4.94,  1.90, -1.78, -5.72, -2.23, -2.03
Uptime 00:00:00, 22.95, -0.00, -0.00,  0.95, -9.61,  2.19,  5.68, -0.17, -0.04,  3.64, 19.29,  5.38; 28.13,  0.02, -0.02,  1.00,  2.16, -6.30, -5.58, -0.98,  1.26, -5.36, -2.99, -2.73
Uptime 00:00:01, 23.05, -0.04,  0.01,  0.92,  0.45, 17.87,  4.20,  0.84, -2.54,  3.63, 21.11,  5.89; 28.22,  0.00,  0.04,  0.99, -1.21,  4.36, -4.20,  2.06,  0.14, -5.35, -2.41, -3.25
Uptime 00:00:01, 22.95, -0.10,  0.05,  1.02,-18.39, -0.50,  1.60,  2.77, -5.58,  1.40, 20.74,  6.09; 28.32, -0.04, -0.04,  0.98,  5.69, -8.59, -1.27, -2.23, -2.11, -4.61, -3.35, -3.40
Uptime 00:00:01, 22.95,  0.03,  0.04,  0.88,  0.26, 12.39,  7.41,  2.89,  1.83,  1.46, 21.81,  7.02; 28.22,  0.05,  0.02,  0.96,  1.81, -0.01, -5.18,  1.31,  2.88, -4.27, -3.35, -4.05
Uptime 00:00:01, 22.95, -0.06,  0.08,  1.03,-16.41,  8.51,  3.19,  4.41, -3.28, -0.46, 22.46,  7.41; 28.22, -0.05, -0.04,  0.97,  4.25, -0.39,  0.41, -2.43, -3.22, -3.72, -3.26, -4.00
Uptime 00:00:01, 23.09, -0.02,  0.09,  0.93,  1.90,  7.84,  2.38,  5.28, -1.00, -0.11, 23.00,  7.71; 28.32,  0.01,  0.01,  0.96,  1.17, -3.69, -3.99,  0.49,  0.61, -3.49, -3.67, -4.50
