Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:00, 23.14, -0.16,  0.21,  1.08, 15.60, -3.24, 48.87, 10.69, -8.35, 32.66, -6.56,103.75; 29.73, -0.09,  0.27,  0.97,-19.23, 65.67, 30.18, 15.81, -4.91,-20.83, 72.30, 33.86
Uptime 00:00:00, 23.19,  0.03, -0.20,  0.98, 16.02, 13.34, 32.01,-11.42,  1.85, 33.77, -4.81,107.81; 29.82, -0.03, -0.20,  0.88,-31.98, -2.76, 27.52,-12.71, -2.15,-24.64, 70.56, 37.35
Uptime 00:00:00, 23.14, -0.04,  0.13,  1.06,  0.10, 57.80, 32.73,  6.90, -2.15, 33.25,  2.64,112.04; 29.73, -0.08, -0.09,  1.04,  2.15, 12.77, 30.51, -4.83, -4.18,-23.97, 70.84, 41.29
Uptime 00:00:00, 23.28, -0.29, -0.03,  1.08, -8.77,-28.85,100.49, -1.68,-14.88, 31.45, -0.74,124.90; 29.82,  0.16, -0.07,  0.84, 24.51,-10.67, 45.95, -4.60, 11.00,-20.51, 67.87, 47.17
Uptime 00:00:00, 23.24, -0.33,  0.08,  1.12, 14.54, 21.07,109.89,  4.01,-16.17, 32.73,  2.24,138.97; 29.87, -0.32, -0.22,  0.99,-10.62, -1.22, 18.64,-12.17,-17.51,-21.68, 66.71, 49.56
Uptime 00:00:00, 23.19, -0.28, -0.14,  1.08,  3.87,-47.17,124.14, -7.27,-14.36, 32.42, -3.48,154.98; 29.96, -0.15,  0.07,  0.89,-15.52,-27.45, 61.90,  4.15, -9.51,-23.12, 62.09, 57.54
Uptime 00:00:00, 23.19, -0.09, -0.12,  1.06, 12.15,-17.01,128.70, -6.22, -5.07, 33.15, -5.42,171.32; 30.06, -0.05, -0.03,  0.93,-12.49,  0.78, 71.87, -1.91, -3.15,-24.25, 61.01, 66.67
Uptime 00:00:00, 23.19, -0.08,  0.04,  0.93,  1.37, 15.51, 88.33,  2.20, -5.15, 32.71, -3.27,182.63; 30.06, -0.16, -0.03,  0.97, -2.04,  6.69, 48.02, -1.62, -9.58,-24.06, 60.82, 72.82
Uptime 00:00:01, 23.19, -0.23,  0.12,  1.04, 16.08, 24.02, 84.99,  6.20,-12.19, 34.23,  0.10,193.68; 30.15, -0.12,  0.02,  1.04,-21.15, 11.64, 51.34,  1.29, -6.87,-26.24, 61.22, 79.49
Uptime 00:00:01, 23.24, -0.41, -0.13,  1.16,  2.18, 24.84,115.65, -6.11,-19.13, 33.69,  3.57,208.37; 30.15, -0.18, -0.11,  1.02,-36.80,  0.89, 46.28, -5.94, -9.78,-30.42, 60.31, 85.37
Uptime 00:00:01, 23.38, -0.08, -0.09,  1.17, 25.63,-15.60,126.08, -4.48, -3.88, 36.12,  1.64,224.38; 30.15, -0.25, -0.10,  1.16, -5.67,  3.02, 59.66, -4.59,-12.21,-30.61, 59.72, 92.95
Uptime 00:00:01, 23.33, -0.24,  0.11,  1.06,  0.91,-33.65, 62.55,  5.97,-12.86, 35.63, -2.42,232.51; 30.25, -0.29, -0.01,  0.91,  6.97,-29.60, 47.11, -0.71,-17.91,-29.12, 55.11, 99.07
Uptime 00:00:01, 23.19, -0.28,  0.13,  0.94,  5.23, 46.26, 98.47,  7.64,-16.29, 35.73,  3.75,245.11; 30.20, -0.04,  0.10,  1.23,-53.76,-12.40, 94.33,  4.67, -1.70,-35.19, 52.49,111.14
