Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:01, 23.33, -0.44, -0.08,  1.21,  4.66, 33.15,158.79, -3.65,-19.98, 35.53,  8.27,265.60; 30.29, -0.57, -0.23,  1.03,-35.17, 81.06, 97.83,-11.29,-28.27,-39.16, 62.25,123.76
Uptime 00:00:01, 23.28,  0.04, -0.14,  0.85,-25.46, 20.81,121.22, -9.35,  2.54, 31.46, 10.64,280.99; 30.34,  0.13, -0.08,  0.98,-49.36, -8.49, 99.32, -4.35,  7.84,-44.60, 59.79,136.38
Uptime 00:00:01, 23.33, -0.54, -0.04,  1.32,-17.06, 53.45,132.08, -1.42,-22.19, 28.66, 17.58,297.90; 30.48, -0.27, -0.25,  0.83,  2.39, 47.71, 94.48,-15.82,-17.14,-43.73, 64.93,148.47
Uptime 00:00:02, 23.33, -0.03, -0.06,  0.97,-38.86, 48.26,125.17, -3.47, -1.95, 23.07, 23.41,314.17; 30.48, -0.05,  0.11,  0.80,-59.99, 26.40, 46.10,  7.45, -3.75,-50.35, 67.07,154.46
Uptime 00:00:02, 23.28, -0.90, -0.34,  0.89,-34.43, 23.30, 95.95,-15.25,-43.24, 18.02, 26.71,326.36; 30.48, -0.69, -0.36,  0.94,-23.23, 14.03, 43.78,-17.34,-34.69,-52.58, 68.16,160.02
Uptime 00:00:02, 23.24, -0.35,  0.23,  1.03, -0.30,  0.11, 52.81, 11.75,-18.50, 17.86, 26.56,333.06; 30.48, -0.19,  0.05,  0.98, 20.01, -9.65, 43.98,  2.74,-10.92,-48.98, 65.82,165.61
Uptime 00:00:02, 23.33, -0.18, -0.48,  0.94,-43.63, -3.63,102.23,-26.40, -9.59, 11.41, 25.76,346.35; 30.48,  0.30, -0.06,  0.47,-29.96,  6.80, 20.22, -5.93, 32.57,-51.94, 64.72,168.24
Uptime 00:00:02, 23.33,  0.05, -0.45,  0.98, 37.58, 12.72, 37.51,-24.44,  2.68, 15.41, 26.78,351.16; 30.44,  0.06, -0.15,  0.93,-59.24, 59.44, 74.45, -9.39,  3.66,-58.52, 70.81,177.77
Uptime 00:00:02, 23.38, -0.90,  0.43,  1.01, 33.58,-19.21, 28.81, 17.84,-39.23, 19.64, 24.64,354.81; 30.53, -0.35, -0.27,  1.33,-18.68,-70.53, 63.25,-11.11,-14.67,-59.89, 60.90,185.80
Uptime 00:00:02, 23.33, -0.63,  0.21,  1.21,-64.47,-23.17, 87.40,  8.72,-27.08, 11.21, 21.74,366.18; 30.53, -0.76,  0.33,  0.93,-20.39,-19.97, 61.15, 15.24,-37.53,-60.99, 57.89,193.75
Uptime 00:00:02, 23.38, -0.67, -0.18,  0.84,-35.32, 22.79, 68.04, -9.45,-38.07,  6.36, 24.93,374.89; 30.53, -0.52, -0.20,  0.81,-16.92, 54.95,-19.88,-12.08,-31.81,-62.13, 64.26,191.21
Uptime 00:00:03, 23.47, -0.61, -0.11,  1.02,  2.10, 22.26,  9.49, -5.15,-30.66,  6.40, 27.88,376.12; 30.62, -0.46, -0.04,  0.92, -7.18,-26.56, 22.18, -2.03,-26.53,-61.85, 60.12,194.09
Uptime 00:00:03, 23.42, -0.72,  0.01,  0.78, -4.07,-37.66, -4.78,  0.71,-42.65,  5.78, 23.48,375.51; 30.62, -0.27, -0.13,  1.06, 22.70,-30.44,  7.90, -6.70,-14.24,-57.92, 55.42,195.09
Uptime 00:00:03, 23.47, -0.16, -0.14,  0.77, -0.17,-68.47, -9.94, -9.86,-11.23,  5.45, 14.72,374.25; 30.62,  0.00,  0.26,  0.84,-23.06,-95.22,-10.98, 17.00,  0.09,-59.29, 42.46,193.70
Uptime 00:00:03, 23.42, -0.41, -0.06,  1.29,-13.06, 99.25,-32.20, -2.50,-17.50,  3.62, 27.42,370.07; 30.62,  0.04,  0.02,  1.11, -1.04, 55.80,-46.54,  1.19,  2.11,-58.21, 48.68,187.65
Uptime 00:00:03, 23.28, -0.29,  0.06,  0.95,  9.38,  6.43,-58.87,  3.34,-16.90,  4.79, 28.01,362.53; 30.72, -0.05,  0.04,  0.95,-13.99,-52.14,-55.23,  2.19, -2.80,-58.76, 41.22,180.58
Uptime 00:00:03, 23.33, -0.34,  0.03,  0.96, 45.86, -0.23,-31.65,  1.68,-19.81, 10.44, 27.82,358.51; 30.72, -0.09,  0.11,  0.95,  6.18,-19.52,-45.69,  6.26, -5.13,-56.69, 38.07,174.78
Uptime 00:00:03, 23.28, -0.28,  0.18,  1.10, 54.95,-45.82,-34.37,  8.98,-14.12, 17.36, 21.76,354.08; 30.76, -0.03, -0.00,  1.18,-16.34, -7.05,-23.49, -0.22, -1.57,-57.63, 36.44,171.75
Uptime 00:00:03, 23.33, -0.32,  0.02,  0.86, 22.08,-40.59,-51.16,  0.95,-20.23, 19.80, 16.63,347.53; 30.72,  0.06,  0.04,  0.69,  1.05,-51.69,-34.53,  3.22,  4.73,-56.28, 29.14,167.33
Uptime 00:00:04, 23.33,  0.08, -0.01,  1.10, 28.80,  2.58,-14.20, -0.74,  4.15, 23.00, 16.54,345.71; 30.76,  0.07, -0.09,  1.02, 63.72,-21.49,-29.95, -4.75,  3.95,-47.26, 25.78,163.49
Uptime 00:00:04, 23.38, -0.02,  0.11,  1.02, 36.70, 71.10, 23.59,  6.38, -1.20, 27.31, 25.22,348.75; 30.72, -0.24,  0.18,  1.11, 24.80, 59.89,-32.92,  9.26,-12.06,-42.99, 33.08,159.25
Uptime 00:00:04, 23.42, -0.42,  0.14,  0.99,-28.17,-46.66,  6.61,  7.41,-22.61, 23.40, 19.36,349.59; 30.86,  0.17, -0.02,  1.01,-23.23,-13.33,-80.91, -1.00,  9.47,-45.04, 30.57,148.97
Uptime 00:00:04, 23.47, -0.47, -0.10,  1.02, 28.31, -6.85,-44.35, -4.98,-24.76, 26.39, 18.61,343.92; 30.86, -0.20, -0.40,  0.95, 20.51, -9.01,-73.73,-22.50,-10.78,-42.02, 29.04,139.53
Uptime 00:00:04, 23.42, -0.32,  0.18,  0.81,  8.53,-53.72, -1.79, 11.76,-20.83, 27.18, 11.81,343.68; 30.95, -0.15, -0.03,  1.23,  1.95,-72.33, -6.91, -1.35, -7.00,-40.95, 19.39,138.64
Uptime 00:00:04, 23.38,  0.11, -0.00,  1.03,-10.19, 43.44, -2.92, -0.27,  6.04, 25.35, 16.90,343.31; 30.86, -0.20, -0.22,  1.02,-24.46, 71.80, 10.68,-11.73,-10.68,-43.44, 28.22,140.00
Uptime 00:00:04, 23.42, -0.20,  0.03,  1.11,  4.19,-21.17, -7.05,  1.78,-10.29, 25.41, 14.09,342.40; 30.95,  0.01, -0.43,  1.14,  7.84,-57.95,  3.95,-20.87,  0.49,-42.00, 20.32,140.51
Uptime 00:00:05, 23.56,  0.02,  0.16,  0.89, 14.15, 30.28, 11.66, 10.05,  1.06, 26.88, 17.59,343.89; 31.05,  0.09, -0.19,  0.98, 33.37,-16.88,-61.61,-10.75,  5.02,-37.19, 17.69,132.63
Uptime 00:00:05, 23.38, -0.43,  0.19,  0.80,-10.42,-14.75, 48.81, 12.04,-27.84, 25.28, 15.94,350.14; 31.09, -0.05, -0.03,  0.94,-27.35,-59.91,-75.61, -1.94, -3.16,-39.91,  9.89,122.95
Uptime 00:00:05, 23.42, -0.21, -0.15,  1.12,  7.14, 34.37,-20.18, -7.60,-10.48, 25.52, 20.18,347.54; 31.00,  0.03, -0.33,  1.11, -3.03, 27.22,-64.27,-16.75,  1.42,-39.83, 13.10,114.66
Uptime 00:00:05, 23.47, -0.39,  0.02,  0.91,  5.12,-37.88, 31.04,  1.35,-23.30, 25.68, 15.49,351.51; 31.00, -0.09, -0.28,  0.99, 42.41,-42.69,-19.21,-15.66, -5.23,-34.03,  7.59,112.20
Uptime 00:00:05, 23.42, -0.15,  0.40,  0.89, 10.02, -1.97,-38.49, 23.83, -8.48, 26.90, 15.10,346.58; 31.00, -0.04,  0.22,  1.03, 12.86,  8.26, 10.04, 12.05, -2.10,-31.49,  8.52,113.48
Uptime 00:00:05, 23.47,  0.02, -0.24,  1.29, 17.08, 12.49,-12.44,-10.62,  1.08, 28.48, 16.48,344.85; 31.00, -0.19, -0.30,  1.12,-44.45,  1.36,-14.01,-14.60, -9.32,-37.21,  8.72,111.54
Uptime 00:00:05, 23.42, -0.09, -0.06,  1.01, 24.76, 42.06,-39.36, -3.11, -5.07, 31.00, 21.61,339.74; 31.09, -0.14, -0.28,  1.10, 40.50,-11.14, -9.58,-14.20, -7.01,-31.59,  7.27,110.29
Uptime 00:00:05, 23.47, -0.15,  0.31,  0.76,-29.55, 12.17, 39.59, 21.99,-10.15, 27.05, 22.93,344.88; 31.09, -0.16, -0.03,  1.07, 51.96, -3.11,-54.98, -1.62, -8.35,-24.37,  6.89,103.14
Uptime 00:00:06, 23.42, -0.56, -0.10,  1.05, 19.92,-29.50,-40.09, -5.03,-28.22, 29.01, 19.19,339.55; 31.05, -0.06, -0.06,  0.98,-15.46,-45.95,-93.24, -3.33, -3.61,-25.96,  0.84, 90.74
Uptime 00:00:06, 23.47, -0.25, -0.14,  1.00, 10.74,-23.16, 43.42, -7.75,-14.08, 29.64, 16.14,345.19; 31.09, -0.07, -0.41,  0.92, 35.86,-43.10,-49.82,-24.13, -4.01,-21.36, -4.59, 84.27
Uptime 00:00:06, 23.52, -0.23,  0.38,  1.19,-20.79,  2.09, 10.40, 17.35,-10.54, 26.71, 16.30,346.57; 31.14, -0.13,  0.01,  0.78, 23.54, 13.71, 19.67,  0.81, -9.78,-17.87, -2.53, 86.86
Uptime 00:00:06, 23.47,  0.17,  0.15,  1.01,-24.28,  0.34,-18.95,  8.11,  9.35, 23.22, 15.83,344.08; 31.24, -0.00,  0.10,  0.80,-63.61, 21.13, 46.42,  7.44, -0.19,-25.53,  0.24, 92.94
Uptime 00:00:06, 23.47, -0.30, -0.12,  1.13, 14.85, 34.29, 13.62, -5.91,-14.96, 24.53, 20.18,345.85; 31.14, -0.12, -0.67,  1.12, 12.04, -3.80,  1.37,-30.65, -5.14,-24.10, -0.15, 93.12
Uptime 00:00:06, 23.52, -0.04,  0.40,  0.97, -1.29, -4.52, 53.48, 22.50, -2.30, 24.32, 19.24,352.91; 31.24, -0.02,  0.17,  1.23, -1.61,-88.30,-33.04,  8.08, -0.86,-23.66,-11.55, 88.76
Uptime 00:00:06, 23.47, -0.42,  0.20,  0.94,  4.79,-12.33, 27.04, 11.04,-23.78, 24.66, 17.76,356.43; 31.14,  0.17,  0.14,  1.01,-37.91,-24.04,-82.53,  7.97,  9.63,-27.86,-14.58, 78.03
Uptime 00:00:06, 23.42, -0.38, -0.19,  1.27, 42.74,-17.28, 55.27, -8.35,-16.45, 29.49, 15.51,363.67; 31.19, -0.03, -0.72,  1.18, 11.98,-10.06,  3.84,-31.24, -1.38,-26.39,-15.55, 78.53
Uptime 00:00:07, 23.47, -0.32,  0.36,  0.84,-20.19, 26.67, 39.79, 21.70,-19.03, 26.72, 19.03,368.92; 31.28, -0.03,  0.14,  1.11, 13.08, 15.04, 39.89,  7.22, -1.38,-24.03,-13.27, 83.80
Uptime 00:00:07, 23.42,  0.10,  0.12,  1.09, 14.28, 25.47,-40.57,  6.36,  5.19, 28.14, 21.79,363.65; 31.19, -0.01,  0.04,  1.01,-66.65, 37.45, 39.40,  2.05, -0.50,-32.00, -8.22, 88.92
Uptime 00:00:07, 23.56, -0.34, -0.30,  1.20,  6.08, 32.47, 31.43,-13.73,-15.52, 28.07, 25.81,367.73; 31.19, -0.29, -0.67,  1.05,  7.05,-20.55,-10.08,-31.48,-13.01,-31.09,-10.41, 87.61
Uptime 00:00:07, 23.52,  0.06,  0.41,  1.24,  9.24,-16.72, 80.75, 18.13,  2.46, 29.08, 23.06,378.47; 31.28,  0.18, -0.10,  0.83, 10.70,-69.16,-24.80, -6.83, 11.88,-29.21,-19.46, 84.31
Uptime 00:00:07, 23.56,  0.12,  0.08,  1.02, -6.37, 12.99, 44.49,  4.61,  6.52, 27.78, 24.13,384.26; 31.19,  0.08,  0.20,  1.05,-33.44,  3.22,-60.25, 11.00,  4.04,-32.67,-18.74, 76.48
Uptime 00:00:07, 23.52, -0.39, -0.17,  1.19,  5.18, 35.77, 13.14, -7.72,-18.04, 27.73, 28.56,385.96; 31.28, -0.09, -0.47,  1.04,-16.52,-14.88,-38.19,-24.18, -4.43,-34.60,-20.17, 71.52
Uptime 00:00:07, 23.52, -0.10,  0.11,  1.10,  1.38,-44.30,  2.88,  5.47, -5.18, 27.46, 22.32,386.35; 31.24, -0.24, -0.12,  1.05, -4.30,-30.93,-13.55, -6.38,-12.94,-34.60,-23.54, 69.71
Uptime 00:00:08, 23.56,  0.30,  0.13,  1.08,-18.86,-28.66,-58.17,  6.73, 15.52, 24.65, 17.91,378.79; 31.24,  0.22,  0.06,  0.90,-54.39,  0.11, 46.36,  3.77, 13.79,-40.76,-23.33, 75.74
Uptime 00:00:08, 23.52,  0.02, -0.31,  1.15, 25.06, 67.96, -9.34,-15.14,  1.10, 27.09, 26.32,377.55; 31.24,  0.10, -0.84,  1.12, 10.83, 17.10,-11.36,-36.87,  4.13,-39.28,-20.73, 74.24
Uptime 00:00:08, 23.52,  0.07,  0.30,  1.05, 12.19, 14.83,  7.34, 15.86,  3.78, 28.42, 27.61,378.51; 31.24,  0.14, -0.00,  1.11, 23.89,-22.79,-53.62, -0.12,  7.12,-35.45,-23.36, 67.27
Uptime 00:00:08, 23.52, -0.07,  0.31,  0.85,  6.33, 34.58, 87.74, 19.68, -4.41, 29.05, 31.55,389.91; 31.24, -0.05,  0.19,  1.03,-44.80,-29.51,-116.30, 10.24, -2.78,-40.25,-26.60, 52.15
Uptime 00:00:08, 23.47, -0.21, -0.26,  1.25, 22.60,-44.06,  5.80,-11.80, -9.35, 31.16, 25.41,390.68; 31.24,  0.02, -0.69,  1.10,  7.75,-14.50,-45.47,-32.17,  1.01,-39.08,-27.97, 46.15
Uptime 00:00:08, 23.52, -0.30,  0.23,  1.03,  6.57, 44.18, 49.33, 12.22,-15.80, 31.62, 30.84,397.09; 31.33, -0.18,  0.10,  1.16,  5.93, 28.23,  4.71,  4.74, -8.84,-37.45,-23.63, 46.76
Uptime 00:00:08, 23.56, -0.30,  0.28,  0.81, -5.17,-11.97, 11.71, 17.97,-19.22, 30.68, 29.07,398.62; 31.33, -0.30,  0.11,  0.69,-80.95,-24.35, 74.65,  8.00,-23.43,-46.93,-25.82, 56.54
Uptime 00:00:08, 23.42,  0.25, -0.31,  1.27, 32.62, 40.11, 40.46,-13.40, 10.75, 34.02, 33.47,403.96; 31.28,  0.03, -0.74,  1.07,-13.47, 30.84, 13.60,-34.65,  1.18,-48.43,-21.34, 58.33
Uptime 00:00:09, 23.52, -0.21,  0.27,  1.02, -5.20, 10.95, 49.69, 14.69,-11.01, 32.97, 34.42,410.47; 31.38,  0.02, -0.06,  1.01,  5.90,-50.65, -7.62, -3.46,  1.37,-46.77,-27.44, 57.34
Uptime 00:00:09, 23.61, -0.38,  0.09,  1.03,  3.87, -9.95, 58.03,  4.63,-20.38, 32.89, 32.87,418.02; 31.28, -0.07, -0.06,  0.91,-41.17,-43.14,-76.53, -3.51, -4.09,-51.15,-32.30, 47.39
Uptime 00:00:09, 23.61, -0.34, -0.19,  1.23,  9.09,-43.74, 65.72, -8.50,-15.31, 33.25, 26.82,426.76; 31.33,  0.13, -0.54,  1.03, 44.70,-28.03, 22.35,-27.36,  6.19,-44.85,-35.44, 50.36
Uptime 00:00:09, 23.61, -0.39,  0.37,  0.99,-19.98, 16.21, 27.66, 19.16,-20.54, 30.42, 28.76,430.36; 31.47, -0.27, -0.11,  0.85, 26.57, -6.15, 71.11, -6.96,-17.57,-40.71,-35.16, 59.60
Uptime 00:00:09, 23.61,  0.20, -0.14,  1.22, 16.65, -6.06, 46.26, -6.53,  9.45, 31.82, 27.22,436.42; 31.28, -0.02, -0.35,  0.93,-95.87,  5.24, 94.76,-20.57, -0.97,-52.61,-33.76, 72.02
Uptime 00:00:09, 23.56, -0.19,  0.03,  1.13,-26.92, 36.05, 15.01,  1.47, -9.36, 27.70, 31.56,438.41; 31.38, -0.15, -0.51,  1.17, 25.77,-20.93, 37.23,-23.51, -6.65,-48.67,-35.68, 76.97
Uptime 00:00:09, 23.52,  0.20,  0.45,  0.65, -0.95,  2.12, 58.21, 33.55, 14.33, 27.70, 30.91,445.98; 31.42,  0.40,  0.04,  0.56, 68.30,-49.05, -8.22,  3.67, 35.11,-38.92,-41.92, 75.90
Uptime 00:00:09, 23.56, -0.54, -0.24,  1.33, 30.28, 19.74, 23.11, -9.34,-21.63, 30.88, 33.28,449.03; 31.42, -0.25, -0.71,  1.46,-40.07,-51.49,-60.01,-25.70, -8.66,-43.84,-47.57, 67.98
Uptime 00:00:10, 23.61, -0.07, -0.02,  0.72,-22.05, -6.08, 34.38, -1.23, -5.21, 27.40, 31.94,453.53; 31.38,  0.13, -0.14,  0.80,  8.59,  1.27, 16.47, -9.57,  9.07,-42.05,-46.64, 70.14
Uptime 00:00:10, 23.56,  0.15, -0.00,  1.12, 31.63, -9.83, 44.27, -0.17,  7.84, 30.91, 29.88,459.33; 31.52,  0.20, -0.32,  1.09, 31.83,  6.95, -6.78,-16.02,  9.72,-37.45,-45.01, 69.25
Uptime 00:00:10, 23.56, -0.03,  0.09,  0.94, -0.05,102.63, 59.30,  5.20, -1.88, 30.39, 42.60,467.16; 31.52, -0.17, -0.08,  0.70, 37.46, 68.02,-22.07, -6.56,-13.61,-31.98,-35.04, 66.33
Uptime 00:00:10, 23.61, -0.18,  0.23,  0.85, 16.92,-37.51, 29.75, 15.00,-11.77, 32.24, 37.20,471.03; 31.52, -0.03, -0.17,  0.91,-61.67,-21.75, 28.42,-10.62, -1.68,-39.41,-37.07, 70.03
Uptime 00:00:10, 23.52, -0.41, -0.34,  1.43, 23.47, 31.71, 50.58,-12.95,-15.63, 34.33, 40.81,477.60; 31.61, -0.41, -0.76,  1.15,-40.48,  8.35, 14.15,-31.68,-16.71,-44.42,-34.93, 71.87
Uptime 00:00:10, 23.52, -0.31,  0.12,  1.08,-13.08,-44.18, 34.81,  6.27,-15.84, 32.06, 34.55,482.23; 31.47, -0.10, -0.19,  1.06, -8.85,-47.69, 49.93,-10.25, -5.56,-44.89,-40.34, 78.51
Uptime 00:00:10, 23.56, -0.19,  0.13,  0.91,  7.55,  0.98, 81.46,  8.14,-11.55, 32.54, 34.22,492.82; 31.47, -0.11,  0.11,  0.99,  5.99, -5.28, 44.04,  6.50, -6.14,-43.09,-40.08, 84.23
Uptime 00:00:11, 23.61, -0.20, -0.12,  1.06, 13.06,  9.33, 94.59, -6.17,-10.79, 33.43, 34.94,505.12; 31.66,  0.00, -0.42,  1.09, -8.07, -9.43,  4.50,-21.31,  0.11,-43.69,-40.49, 84.82
Uptime 00:00:11, 23.56, -0.31, -0.04,  0.92, 12.74, 50.23, 69.24, -2.26,-18.50, 34.38, 41.16,514.33; 31.47, -0.26, -0.07,  1.05, -7.04, 23.73, 21.54, -3.74,-13.82,-43.81,-36.31, 87.68
Uptime 00:00:11, 23.61, -0.21,  0.24,  0.97, 19.09,-13.63, 97.77, 13.66,-12.05, 36.40, 38.84,527.04; 31.56, -0.21, -0.04,  0.78, 20.83, -1.94, 24.42, -2.85,-14.87,-40.33,-35.53, 90.86
Uptime 00:00:11, 23.56, -0.52,  0.02,  1.01, 40.19,-18.17, 76.88,  1.01,-27.34, 41.17, 36.13,537.73; 31.52, -0.37,  0.12,  0.88, 39.57,-14.56, 15.32,  7.31,-22.46,-33.99,-36.35, 92.99
Uptime 00:00:11, 23.71, -0.15,  0.31,  0.92, -3.20,-17.56, 41.20, 18.47, -8.98, 40.30, 33.34,543.12; 31.56, -0.62,  0.11,  0.85,-57.49, -9.22, 67.95,  5.84,-35.58,-40.57,-36.10,101.89
Uptime 00:00:11, 23.66, -0.33,  0.01,  1.16,-11.18, 22.63, 64.81,  0.40,-16.07, 38.08, 35.87,551.55; 31.71,  0.20, -0.10,  1.08,-38.08, -1.31,100.74, -4.96, 10.17,-44.71,-35.75,114.99
Uptime 00:00:11, 23.61, -0.05,  0.03,  1.23,-14.08, -6.55, 63.72,  1.21, -2.21, 35.52, 34.35,559.96; 31.61, -0.13, -0.42,  0.79, -0.20,-35.95, 56.12,-27.68, -8.30,-44.40,-39.52,122.39
Uptime 00:00:11, 23.66, -0.20,  0.55,  1.14,  4.91, -3.92,121.25, 25.46, -8.85, 35.95, 33.34,575.85; 31.71, -0.18,  0.24,  1.05,-21.29,-63.83,-12.57, 12.88, -9.50,-45.99,-46.73,120.75
Uptime 00:00:12, 23.66, -0.30, -0.19,  1.06,  3.20, 14.89, 40.61, -9.71,-15.42, 35.45, 34.89,581.16; 31.61, -0.02, -0.23,  0.96, -9.90, 24.17, 12.13,-13.64, -1.35,-46.61,-42.67,122.34
Uptime 00:00:12, 23.61, -0.37,  0.10,  1.09, 26.56,-15.98, 48.87,  4.77,-18.56, 38.27, 32.50,587.62; 31.61, -0.07, -0.15,  1.06, 38.18, -9.86,  7.61, -7.91, -3.57,-40.90,-43.02,123.34
Uptime 00:00:12, 23.56, -0.05,  0.41,  0.62,  1.69,-21.86, -1.89, 33.30, -3.79, 38.38, 29.14,587.37; 31.47, -0.01,  0.42,  1.15,-25.29,-14.23, 50.53, 19.93, -0.39,-42.90,-43.96,129.91
Uptime 00:00:12, 23.61,  0.18, -0.48,  1.19, 34.30, 60.14, 33.75,-21.84,  8.15, 41.58, 36.11,591.79; 31.71,  0.15, -0.64,  1.11,-20.91, 23.33,  1.02,-29.76,  6.70,-45.32,-40.22,130.04
Uptime 00:00:12, 23.66,  0.02,  0.15,  0.93,-16.60, 27.31, -6.28,  9.49,  1.09, 38.78, 38.93,590.96; 31.66,  0.08, -0.09,  0.96, 29.03,  2.72, -7.93, -5.05,  4.54,-40.73,-39.15,128.99
Uptime 00:00:12, 23.61, -0.12,  0.38,  0.95,  2.83, 48.79, 29.65, 21.86, -6.80, 38.80, 44.50,594.81; 31.75, -0.33,  0.23,  1.01,-21.33,-17.60,-73.93, 12.39,-17.56,-42.39,-40.26,119.38
Uptime 00:00:12, 23.66, -0.14, -0.40,  1.26, 31.00,-55.31,-19.60,-17.52, -6.01, 41.62, 36.69,592.26; 31.75,  0.27, -0.61,  1.07,-20.14,-72.96,-40.04,-29.09, 12.53,-44.69,-49.00,114.17
Uptime 00:00:13, 23.61, -0.31,  0.38,  0.97,  3.47, 63.89,  9.89, 20.54,-16.33, 41.65, 44.61,593.58; 31.75, -0.33,  0.15,  1.01, 39.34, 56.03,-37.93,  7.87,-17.99,-38.51,-40.36,109.13
Uptime 00:00:13, 23.66, -0.31,  0.11,  0.86, 28.05,-90.41, -4.66,  6.92,-19.93, 44.53, 32.60,592.97; 31.75, -0.08,  0.42,  1.27,-40.95,-71.71, 28.82, 18.38, -3.63,-42.59,-48.62,112.87
Uptime 00:00:13, 23.66,  0.09, -0.15,  1.19, 11.66, 63.15, 27.97, -7.34,  4.22, 45.00, 40.03,596.66; 31.75, -0.06, -0.46,  1.06,  9.37, 42.98,-11.49,-23.28, -2.81,-40.99,-42.03,111.36
Uptime 00:00:13, 23.66, -0.16,  0.34,  0.85,  4.74, 28.66, 39.22, 21.27, -9.93, 45.13, 43.08,601.76; 31.75, -0.02,  0.15,  1.01, 18.65,-58.67,-28.72,  8.14, -1.02,-37.63,-48.64,107.62
Uptime 00:00:13, 23.66, -0.57,  0.00,  1.09, 27.08,-34.81, 13.83,  0.03,-27.50, 47.71, 38.30,603.57; 31.75, -0.10,  0.13,  0.91,-29.78,-27.23,-31.55,  8.09, -6.53,-40.54,-51.03,103.49
