Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:00, 27.47,  0.18,  0.16,  0.99, -6.19, 19.27,-73.00,  8.76, 10.27,-12.70, 39.91,-155.06; 32.08,  0.05,  0.08,  1.02,  2.21, 23.25,  8.74,  4.24,  2.88,  2.52, 25.50,  9.81
Uptime 00:00:00, 27.47,  0.11,  0.24,  1.01, -3.42, 22.14,-64.33, 13.34,  6.09,-12.61, 41.75,-163.23; 32.27, -0.05,  0.03,  1.04,  1.11,  5.58, -8.52,  1.48, -2.75,  2.64, 25.74,  8.73
Uptime 00:00:00, 27.42,  0.14,  0.15,  0.97,  0.71, 15.76,-61.29,  8.69,  7.83,-12.09, 42.75,-171.14; 32.27, -0.02, -0.00,  1.00,-10.26, -1.88,-14.83, -0.01, -1.36,  1.29, 25.02,  6.82
Uptime 00:00:00, 27.47,  0.13,  0.26,  1.03,-10.31, 31.87,-64.80, 13.91,  6.87,-12.86, 45.75,-179.43; 32.32,  0.01,  0.00,  1.01, -3.44, -2.72,-13.67,  0.10,  0.57,  0.83, 24.16,  5.07
Uptime 00:00:00, 27.47,  0.04,  0.17,  1.04, -3.33, 24.85,-55.61,  9.48,  2.35,-12.83, 47.91,-186.55; 32.46, -0.01, -0.03,  0.99, -7.44, -0.00, -6.81, -1.84, -0.68, -0.15, 23.69,  4.19
Uptime 00:00:00, 27.61,  0.14,  0.19,  1.00, -9.61, 10.88,-52.06, 10.68,  7.75,-13.58, 48.17,-193.26; 32.46, -0.00,  0.02,  0.98, -1.02, -3.17, -8.71,  1.31, -0.02, -0.25, 22.82,  3.07
Uptime 00:00:00, 27.56,  0.16,  0.10,  1.02, -6.48, 16.97,-56.61,  5.52,  8.68,-14.00, 49.15,-200.45; 32.55,  0.02, -0.03,  1.00, -2.73,  1.12, -5.45, -1.75,  0.95, -0.62, 22.49,  2.38
Uptime 00:00:00, 27.47,  0.08,  0.08,  0.99, -5.93, 29.46,-54.13,  4.85,  4.60,-14.37, 51.77,-207.38; 32.55, -0.07, -0.02,  0.97,  5.94,-14.40, -9.50, -1.32, -4.40,  0.11, 20.32,  1.16
Uptime 00:00:01, 27.66,  0.04,  0.03,  0.91, -4.02, 24.51,-68.62,  1.66,  2.22,-14.56, 53.81,-216.30; 32.65, -0.03,  0.04,  0.99, 23.40,-31.03,-13.99,  2.46, -1.59,  3.14, 15.99, -0.66
Uptime 00:00:01, 27.56,  0.18,  0.16,  1.03, -8.49,  3.11,-76.15,  8.88,  9.79,-15.15, 52.92,-225.97; 32.65,  0.09,  0.10,  1.01, -6.78, 23.14, -1.56,  5.59,  5.30,  2.34, 18.44, -0.86
Uptime 00:00:01, 27.56,  0.02,  0.14,  1.06,  0.15, 30.86,-59.17,  7.38,  1.09,-14.68, 55.74,-233.61; 32.60, -0.05,  0.02,  0.89,-15.31, 12.91,-20.48,  1.37, -3.41,  0.39, 19.78, -3.50
Uptime 00:00:01, 27.56,  0.19,  0.30,  0.98, -4.63,-30.60,-93.69, 16.83, 10.58,-14.63, 50.58,-245.60; 32.74, -0.02,  0.15,  1.07,  0.98, -3.20,  0.38,  8.17, -0.87,  0.66, 19.00, -3.45
Uptime 00:00:01, 27.47,  0.13,  0.10,  0.94, -5.42,  5.82,-100.42,  5.91,  7.88,-14.90, 50.14,-258.45; 32.69,  0.04, -0.09,  1.06, -1.85,-10.95,-10.63, -5.03,  2.18,  0.32, 17.20, -4.81
Uptime 00:00:01, 27.52,  0.20,  0.08,  1.05,  2.36, 40.48,-87.37,  4.46, 10.54,-14.21, 54.04,-269.72; 32.79, -0.03, -0.08,  0.94,  4.89,-35.91,-38.19, -4.62, -2.12,  0.84, 12.36, -9.74
Uptime 00:00:01, 27.66, -0.03,  0.16,  1.00,-11.93, 66.65,-74.64,  8.87, -1.71,-15.24, 61.29,-279.20; 32.79, -0.01,  0.11,  0.98, -7.36, -8.25,-32.02,  6.21, -0.43,  0.03, 11.09,-13.80
Uptime 00:00:01, 27.61,  0.00,  0.25,  0.97,-20.61, 17.47,-64.61, 14.59,  0.24,-17.23, 62.25,-287.47; 32.84, -0.02,  0.07,  1.01, 15.25, 15.46, -2.25,  4.10, -0.93,  2.02, 12.83,-14.09
Uptime 00:00:02, 27.56, -0.12,  0.30,  1.01,-17.48,-42.28,-74.56, 16.67, -6.30,-18.77, 55.75,-297.17; 32.88,  0.10,  0.12,  0.98,  5.76, -3.35, -8.17,  6.86,  5.67,  2.85, 12.03,-15.15
Uptime 00:00:02, 27.52,  0.52,  0.23,  0.98,-34.84,-83.63,-139.90, 11.75, 27.37,-22.50, 43.68,-314.93; 32.88,  0.04,  0.00,  1.01, 26.58,-51.49, 21.31,  0.04,  2.36,  6.11,  5.34,-12.45
Uptime 00:00:02, 27.56,  0.95,  0.25,  0.69,-73.88,112.04,-172.90, 11.79, 52.36,-31.01, 55.70,-336.89; 32.98,  0.35,  0.23,  0.82,-18.03, 14.47,-42.89, 14.34, 22.12,  4.03,  6.59,-17.89
Uptime 00:00:02, 27.52,  0.25, -0.21,  0.90,-28.45, 54.82,-159.29,-12.88, 15.08,-34.27, 61.27,-357.60; 32.98,  0.20, -0.04,  0.86,-14.60,  3.90,-98.66, -2.90, 12.76,  2.03,  6.70,-30.72
Uptime 00:00:02, 27.56,  0.08,  0.01,  1.03,-12.51, -4.97,-144.91,  0.56,  4.22,-35.14, 59.33,-376.15; 32.98,  0.09,  0.21,  0.93,-40.03,-43.04,-77.97, 12.64,  5.52, -2.78,  1.05,-40.70
Uptime 00:00:02, 27.61,  0.56,  0.14,  1.13,-13.67, 53.26,-152.62,  6.24, 26.23,-36.02, 64.25,-395.53; 32.98,  0.39,  0.12,  1.03, -9.98, -0.57,-95.94,  6.50, 20.55, -3.84,  0.55,-52.88
Uptime 00:00:02, 27.66,  0.12, -0.05,  0.81,  3.89,124.92,-100.51, -3.79,  8.68,-34.88, 78.59,-408.50; 32.98, -0.22, -0.19,  0.89,-23.01,-15.99,-153.20,-11.79,-13.52, -6.91, -1.21,-72.65
Uptime 00:00:02, 27.61, -0.09,  0.07,  1.11, 38.26,  1.12,-123.00,  3.37, -4.78,-29.32, 77.25,-424.24; 33.02,  0.17, -0.03,  1.04,-12.61, 14.41,-101.26, -1.89,  9.22, -8.39,  0.44,-85.61
Uptime 00:00:03, 27.66,  0.04,  0.47,  1.03,-41.00, 36.45,-119.72, 24.81,  2.09,-33.46, 80.31,-439.81; 33.07,  0.03,  0.35,  1.11, 29.10, 33.48,-117.26, 17.30,  1.48, -4.17,  4.66,-100.85
Uptime 00:00:03, 27.61, -0.28, -0.04,  0.74, 17.58,-37.58,-174.18, -2.92,-20.36,-30.66, 74.43,-461.93; 33.07, -0.05,  0.02,  0.79,-33.82,-48.89,-111.84,  1.25, -3.38, -8.27, -1.45,-115.05
Uptime 00:00:03, 27.66,  0.69,  0.35,  1.52,-14.32, 33.38,-133.09, 11.69, 23.85,-31.59, 76.62,-478.83; 33.16,  0.31,  0.26,  1.47, 18.81, 13.77,-52.97,  9.83, 11.65, -5.56,  0.06,-121.78
Uptime 00:00:03, 27.61, -0.17,  0.09,  0.56, -9.06, 97.78,-86.06,  8.37,-16.45,-31.96, 87.97,-490.10; 33.12,  0.19,  0.12,  0.56,-21.13,-46.69,-75.07, 11.56, 18.09, -7.93, -6.30,-131.61
Uptime 00:00:03, 27.56, -0.25,  0.18,  1.20, 34.45, 97.91,-68.68,  8.24,-11.55,-26.83, 98.72,-498.89; 33.07, -0.26, -0.14,  1.19,  2.64,-15.27,-90.81, -6.68,-12.36, -7.58, -7.84,-143.24
