Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:00, 22.34, -0.03, -0.02,  1.00, -0.66, -2.07, -1.40, -0.87, -1.43, -1.38, -4.27, -2.98; 28.27, -0.01, -0.00,  0.99,  0.09, -0.86, -1.78, -0.25, -0.72,  0.09, -0.92, -1.99
Uptime 00:00:00, 22.39, -0.00, -0.00,  1.00, -1.36, -0.36,  1.51, -0.22, -0.24, -1.53, -4.23, -2.79; 28.36,  0.00, -0.01,  1.00,  0.52,  1.04, -1.42, -0.50,  0.02,  0.14, -0.78, -2.17
Uptime 00:00:00, 22.34, -0.02,  0.01,  0.99, -0.70, -2.07, -0.43,  0.31, -1.19, -1.58, -4.37, -2.84; 28.46, -0.02,  0.01,  1.00, -1.15, -1.67,  5.23,  0.37, -1.02,  0.01, -0.95, -1.51
Uptime 00:00:00, 22.39, -0.01, -0.01,  1.00, -0.55, -4.70, -2.17, -0.36, -0.38, -1.62, -4.84, -3.11; 28.46, -0.01, -0.00,  1.01, -0.09, -3.68,  3.15, -0.24, -0.47, -0.01, -1.36, -1.13
Uptime 00:00:00, 22.34,  0.02,  0.00,  1.00, -0.69,  0.19, -0.70,  0.10,  1.04, -1.67, -4.74, -3.20; 28.36,  0.03, -0.01,  1.00,  1.20,  2.01, -4.15, -0.29,  1.69,  0.13, -1.13, -1.64
Uptime 00:00:00, 22.34, -0.04, -0.00,  1.03, -0.61, -4.31,  8.90, -0.23, -1.98, -1.71, -5.14, -2.08; 28.46,  0.01, -0.04,  1.01,  0.88, -2.47, -2.15, -2.02,  0.58,  0.20, -1.42, -1.91
Uptime 00:00:00, 22.29, -0.01, -0.01,  1.00, -2.40, -0.64,  6.78, -0.60, -0.81, -1.98, -5.10, -1.24; 28.51, -0.00,  0.02,  0.99, -0.77,  0.40, 15.30,  1.41, -0.06,  0.13, -1.34, -0.03
Uptime 00:00:00, 22.34,  0.00, -0.03,  1.02, -1.41,-11.49, 13.33, -1.80,  0.18, -2.15, -6.39,  0.40; 28.69, -0.02, -0.01,  0.98,  0.30, -5.77, 13.70, -0.42, -1.31,  0.16, -1.99,  1.66
Uptime 00:00:00, 22.39, -0.06,  0.08,  1.04, -9.51,-10.41, 30.82,  4.56, -3.41, -3.19, -7.48,  4.28; 28.69,  0.03,  0.02,  1.02, 14.56, -3.25, 21.26,  1.23,  1.62,  1.97, -2.38,  4.34
Uptime 00:00:01, 22.34,  0.10, -0.04,  0.95,-10.69,  1.82, 27.22, -2.46,  5.75, -4.47, -7.22,  7.66; 28.69,  0.02,  0.18,  0.95, 17.51,  0.62, 49.41, 10.41,  0.94,  4.27, -2.28, 10.46
Uptime 00:00:01, 22.34,  0.21, -0.00,  1.01,-10.98, 37.56,  8.78, -0.20, 11.55, -5.71, -2.78,  8.74; 28.69,  0.02,  0.08,  1.01,  2.07, 21.91, 24.87,  4.75,  1.29,  4.53,  0.38, 13.52
Uptime 00:00:01, 22.29,  0.03,  0.00,  0.91, -0.28,-25.99, 20.52,  0.08,  2.15, -5.63, -5.95, 11.30; 28.69, -0.12,  0.17,  1.00, 18.96,-24.64,-21.08,  9.41, -6.54,  6.95, -2.51, 10.89
Uptime 00:00:01, 22.44, -0.02,  0.05,  1.11, -3.06,  5.62,-10.56,  2.52, -0.91, -5.83, -5.13, 10.00; 28.79,  0.03,  0.13,  0.96, 12.11, 34.88,-35.58,  7.92,  1.75,  8.43,  1.71,  6.51
Uptime 00:00:01, 22.39, -0.09, -0.02,  1.01, 15.40,-31.44,-47.05, -1.21, -4.89, -3.84, -8.82,  4.07; 28.79,  0.34,  0.41,  1.04,-48.43,  7.98, -2.58, 20.62, 16.94,  2.69,  2.32,  6.19
Uptime 00:00:01, 22.34,  0.08,  0.00,  0.98, -1.83,-15.05,-31.53,  0.14,  4.71, -3.98,-10.56,  0.16; 28.88, -0.05,  0.15,  0.97,  4.12,  8.47, 43.88,  8.95, -2.84,  3.32,  3.36, 11.63
Uptime 00:00:01, 22.48,  0.11,  0.11,  1.08,-12.98,-23.25,-21.21,  5.85,  5.62, -5.35,-13.27, -2.44; 28.88, -0.01,  0.24,  0.96,  8.64,-59.54, 44.80, 14.14, -0.75,  4.58, -3.87, 17.14
